Date,Discharge MIMO FFNN,Flow observed,MBC MIMO FFNN,MBC Lin Reg,MBC DA,Random error FFNN,Random error LR
1995-10-16,1337.075,1310.0,2.6669612,-2.117342220669422,3.594050645828247,0.9270894527435303,5.711392866497669
1995-10-17,1314.9324,1280.0,3.3463864,-2.117342220669422,2.933195114135742,-0.4131913185119629,5.050537334805164
1995-10-18,1273.3134,1240.0,0.4468769,-2.117342220669422,-2.601197481155396,-3.0480743944644932,-0.4838552604859738
1995-10-19,1253.132,1220.0,1.3045353,-2.117342220669422,0.7058728337287903,-0.5986624360084534,2.8232150543982124
1995-10-20,1246.3008,1190.0,-3.4096265,-6.052027613229526,-13.14351844787598,-9.733891963958744,-7.0914908346464545
1995-10-21,1208.267,1170.0,3.6848207,-2.117342220669422,-5.579007625579834,-9.26382827758789,-3.461665404910412
1995-10-22,1182.5583,1160.0,1.0479931,-6.052027613229526,-8.574481964111328,-9.622475028038025,-2.5224543508818025
1995-10-23,1158.6038,1130.0,7.416837,-2.117342220669422,-6.010088443756104,-13.426925659179688,-3.8927462230866823
1995-10-24,1108.8118,1110.0,6.90846,-0.14999952438937036,6.318432807922363,-0.5900273323059082,6.468432332311734
1995-10-25,1075.5717,1060.0,-0.46142206,-4.084684916949474,-10.66734600067139,-10.205923944711689,-6.582661083721916
1995-10-26,1067.9047,1060.0,-2.430057,-6.052027613229526,-8.195941925048828,-5.765884876251221,-2.1439143118193025
1995-10-27,1061.4009,1050.0,-5.318449,-8.019370309509577,-14.60837078094482,-9.289921760559078,-6.589000471435243
1995-10-28,1044.5292,1050.0,0.16281548,-4.084684916949474,-2.57680082321167,-2.7396163046360016,1.507884093737804
1995-10-29,1057.1788,1050.0,-16.26349,-13.921398398349734,-23.62534141540527,-7.361850738525387,-9.703943017055536
1995-10-30,1172.8403,1100.0,-35.874733,-29.660139968590144,-63.7498664855957,-27.875133514404297,-34.08972651700556
1995-10-31,1259.7102,1240.0,-24.851543,-25.72545457603004,-37.29013442993164,-12.438591003417969,-11.564679853901602
1995-11-01,1285.69,1240.0,12.917485,-4.084684916949474,-14.27971649169922,-27.1972017288208,-10.195031574749747
1995-11-02,1225.5726,1210.0,14.562953,1.8173431718906805,0.03373315185308456,-14.529219843447208,-1.783610020037596
1995-11-03,1217.1932,1200.0,-20.594164,-15.888741094629784,-33.54346466064453,-12.949300765991211,-17.654723566014745
1995-11-04,1312.4181,1270.0,-28.666279,-23.75811187974999,-43.93311309814453,-15.266834259033203,-20.17500121839454
1995-11-05,1388.1932,1330.0,-8.840082,-15.888741094629784,-32.22054672241211,-23.380464553833008,-16.331805627782323
1995-11-06,1394.5547,1340.0,10.551818,-4.084684916949474,-9.47891902923584,-20.030736923217773,-5.394234112286366
1995-11-07,1336.9429,1300.0,10.021539,-0.14999952438937036,-4.859577178955078,-14.881115913391113,-4.709577654565708
1995-11-08,1253.1375,1220.0,25.868992,11.654056653290938,13.1182107925415,-12.75078105926514,1.464154139250562
1995-11-09,1182.4481,1160.0,4.4767604,-2.117342220669422,-8.440187454223633,-12.916947841644287,-6.322845233554211
