Date,Discharge MIMO FFNN,Flow observed,MBC MIMO FFNN,MBC Lin Reg,MBC DA,Random error FFNN,Random error LR
1995-10-16,1374.8658,1370.0,11.666157,8.811605309406195,27.1618766784668,15.495719909667972,18.350271369060607
1995-10-17,1346.1078,1340.0,11.210456,8.811605309406195,25.84230613708496,14.631850242614746,17.030700827678764
1995-10-18,1300.0122,1300.0,10.871611,8.811605309406195,24.75656127929688,13.884950637817386,15.944955969890684
1995-10-19,1283.5293,1270.0,8.838369,8.811605309406195,21.39401435852051,12.555644989013675,12.582409049114316
1995-10-20,1267.9965,1230.0,2.3524063,3.8623256740944636,13.67430591583252,11.321899652481079,9.811980241738055
1995-10-21,1241.444,1220.0,9.242376,8.811605309406195,18.81290817260742,9.57053184509277,10.001302863201223
1995-10-22,1212.4484,1200.0,4.673725,3.8623256740944636,12.83139324188232,8.157668113708493,8.969067567787857
1995-10-23,1198.5791,1180.0,8.734273,8.811605309406195,17.95225715637207,9.217984199523926,9.140651846965875
1995-10-24,1150.8905,1160.0,11.438118,11.286245127062061,22.62818145751953,11.1900634765625,11.34193633045747
1995-10-25,1111.8507,1110.0,6.308126,6.3369654917503295,18.61496353149414,12.306837558746338,12.27799803974381
1995-10-26,1097.9572,1100.0,2.975875,3.8623256740944636,13.5874137878418,10.61153888702393,9.725088113747336
1995-10-27,1086.5964,1090.0,-0.4197321,1.3876858564385977,10.75057983398438,11.170311927795415,9.362893977545783
1995-10-28,1077.918,1090.0,4.5942974,6.3369654917503295,14.83582973480225,10.241532325744632,8.49886424305192
1995-10-29,1071.2542,1080.0,-10.024055,-6.036233596529,2.712699174880981,12.736753702163696,8.748932771409981
1995-10-30,1185.6417,1130.0,-39.84921,-25.83335213777593,-17.69633483886719,22.15287399291992,8.137017298908738
1995-10-31,1279.4418,1270.0,-32.644855,-20.884072502464196,-14.60365581512451,18.041199684143066,6.280416687339686
1995-11-01,1332.2037,1290.0,0.106941156,6.3369654917503295,11.40660381317139,11.299662657082084,5.069638321421061
1995-11-02,1283.0674,1260.0,11.088541,13.760884944717928,20.05140495300293,8.96286392211914,6.290520008285002
1995-11-03,1245.6327,1250.0,-11.051801,-8.510873414184866,2.816550254821777,13.868350982666016,11.327423669006643
1995-11-04,1332.0583,1320.0,-25.31302,-18.40943268480833,-7.959695816040039,17.35332489013672,10.44973686876829
1995-11-05,1419.1683,1370.0,-16.734842,-8.510873414184866,-4.483870029449463,12.250972270965576,4.027003384735403
1995-11-06,1442.4509,1390.0,1.132349,6.3369654917503295,11.02489948272705,9.892550468444824,4.687933990976721
1995-11-07,1388.2435,1360.0,10.16755,11.286245127062061,20.24912643432617,10.08157634735107,8.962881307264107
1995-11-08,1330.9082,1290.0,26.420387,26.134084032997258,36.21175003051758,9.791362762451172,10.07766599752032
1995-11-09,1225.0579,1220.0,11.591519,8.811605309406195,23.05694389343262,11.465424537658695,14.245338584026426
1995-11-10,1222.516,1210.0,5.068969,3.8623256740944636,15.88540363311768,10.816434860229496,12.023077959023215
1995-11-11,1199.8008,1170.0,12.99225,11.286245127062061,17.90206527709961,4.909814834594727,6.615820150037548
1995-11-12,1143.296,1140.0,5.718123,6.3369654917503295,14.22922420501709,8.511101245880127,7.89225871326676
1995-11-13,1133.5052,1120.0,1.8875307,3.8623256740944636,12.07376289367676,10.18623220920563,8.211437219582296
1995-11-14,1119.2001,1110.0,7.7219133,8.811605309406195,16.52578926086426,8.803875923156742,7.714183951458066
1995-11-15,1099.7952,1090.0,-0.27374184,3.8623256740944636,13.89371681213379,14.167458653450014,10.031391138039327
1995-11-16,1119.5387,1100.0,-19.987661,-8.510873414184866,1.203817844390869,21.191479206085205,9.714691258575735
1995-11-17,1245.8212,1190.0,-49.256977,-25.83335213777593,-19.53326416015625,29.723712921142578,6.300087977619679
1995-11-18,1429.0496,1300.0,-67.35013,-40.681191043711124,-42.66724014282227,24.682888031005852,-1.986049099111149
1995-11-19,1888.8168,1860.0,-272.6899,-228.75381718555693,-235.0640716552734,37.625839233398466,-6.310254469716483
1995-11-20,2566.6506,2570.0,-80.93252,-70.37686885558152,-88.00875091552734,-7.07623291015625,-17.631882059945823
1995-11-21,2524.583,2470.0,25.53466,68.20296093314697,38.0725212097168,12.537860870361328,-30.13043972343017
1995-11-22,2152.5242,2200.0,41.591972,68.20296093314697,54.77888870239258,13.18691635131836,-13.42407223075439
1995-11-23,1960.7195,2000.0,42.52921,43.45656275658831,46.21652984619141,3.6873207092285227,2.7599670896031014
1995-11-24,1828.2842,1860.0,42.63061,36.032643303620716,47.23149871826172,4.600887298583984,11.198855414641002
1995-11-25,1679.2441,1750.0,32.187767,21.184804397685525,32.61254501342773,0.4247779846191335,11.427740615742202
1995-11-26,1670.1417,1680.0,25.026592,16.235524762373792,29.68375205993652,4.657159805297848,13.448227297562728
1995-11-27,1625.6488,1630.0,23.376966,11.286245127062061,23.99787521362305,0.6209087371826207,12.711630086560989
1995-11-28,1638.0018,1590.0,22.273674,16.235524762373792,29.59347152709961,7.319797515869141,13.357946764725817
1995-11-29,1597.4077,1520.0,15.821808,13.760884944717928,18.81958770751953,2.9977798461914062,5.0587027628016035
1995-11-30,1554.5038,1490.0,8.656812,3.8623256740944636,8.401520729064941,-0.2552909851074219,4.539195054970477
1995-12-01,1557.544,1470.0,-0.10172141,3.8623256740944636,5.191856861114502,5.293578274548054,1.3295311870200384
1995-12-02,1496.3545,1450.0,8.3259,8.811605309406195,14.62884712219238,6.302947044372555,5.817241812786184
