Date,Discharge MIMO FFNN,Flow observed,MBC MIMO FFNN,MBC Lin Reg,MBC DA,Random error FFNN,Random error LR
1995-10-16,1410.5647,1410.0,12.177448,14.313506815481102,29.91776275634766,17.74031448364258,15.604255940866558
1995-10-17,1381.3779,1370.0,12.349404,14.313506815481102,26.21780586242676,13.868401527404789,11.90429904694566
1995-10-18,1332.7806,1340.0,14.233238,14.313506815481102,28.21184158325195,13.978603363037106,13.898334767770848
1995-10-19,1312.273,1300.0,12.584978,14.313506815481102,24.19385719299316,11.608879089355465,9.880350377512059
1995-10-20,1296.193,1270.0,7.3933606,8.889182734157083,24.30269050598145,16.909329891204838,15.413507771824365
1995-10-21,1271.1489,1250.0,9.286864,14.313506815481102,22.1467342376709,12.859869956970215,7.833227422189797
1995-10-22,1239.2717,1220.0,4.0326333,8.889182734157083,17.08815002441406,13.055516719818112,8.198967290256975
1995-10-23,1228.656,1200.0,5.924229,14.313506815481102,19.60441780090332,13.680188655853271,5.290910985422219
1995-10-24,1186.9762,1180.0,9.473815,17.02566885614311,21.51479721069336,12.040982246398926,4.48912835455025
1995-10-25,1145.1006,1140.0,6.792857,11.601344774819093,25.92179870605469,19.12894153594971,14.320453931235598
1995-10-26,1129.1156,1120.0,2.9610064,8.889182734157083,18.78860473632812,15.827598333358761,9.899422002171038
1995-10-27,1111.9253,1110.0,-0.7923217,6.177020693495074,16.72236442565918,17.514686107635498,10.545343732164106
1995-10-28,1109.2538,1110.0,3.175713,11.601344774819093,17.29482841491699,14.119115352630612,5.693483640097895
1995-10-29,1094.1335,1100.0,-6.8923006,-1.9594654284909518,12.79800415039062,19.690304756164544,14.757469578881572
1995-10-30,1184.2253,1120.0,-35.225773,-23.656761753787023,-8.943877220153809,26.281895637512207,14.712884533633215
1995-10-31,1261.9609,1230.0,-38.775032,-18.232437672463007,-27.06357383728027,11.711458206176761,-8.831136164817263
1995-11-01,1341.7926,1310.0,-7.302643,11.601344774819093,8.733529090881348,16.036171913146973,-2.8678156839377458
1995-11-02,1321.3816,1300.0,12.495108,19.737830896805118,23.93642425537109,11.441316604614254,4.198593358565972
1995-11-03,1269.5381,1260.0,-4.663515,-4.671627469152962,7.989359855651855,12.652874946594238,12.660987324804816
1995-11-04,1327.333,1300.0,-24.104607,-15.520275631800999,-13.15222454071045,10.95238208770752,2.3680510910905497
1995-11-05,1412.79,1370.0,-22.273317,-4.671627469152962,-6.188277244567871,16.08504009246826,-1.5166497754149093
1995-11-06,1462.9893,1400.0,-2.3329763,11.601344774819093,6.271095275878906,8.604071617126465,-5.330249498940187
1995-11-07,1434.085,1380.0,12.05225,17.02566885614311,18.33868980407715,6.286439895629883,1.3130209479340387
1995-11-08,1389.3625,1340.0,27.761297,33.29864110011516,37.94169998168945,10.180402755737305,4.643058881574291
1995-11-09,1273.9061,1260.0,17.635742,14.313506815481102,30.87274551391602,13.23700332641602,16.559238698434918
1995-11-10,1243.0171,1230.0,5.631857,8.889182734157083,17.82557106018066,12.1937141418457,8.936388326023577
1995-11-11,1238.4731,1200.0,10.084255,17.02566885614311,23.36857604980469,13.284320831298832,6.342907193661581
1995-11-12,1187.7621,1160.0,8.923382,11.601344774819093,17.99288749694824,9.069505691528317,6.391542722129145
1995-11-13,1174.9108,1140.0,5.983777,8.889182734157083,17.01406288146973,11.030285835266117,8.124880147312647
1995-11-14,1159.5103,1130.0,8.6787,14.313506815481102,18.02705383300781,9.34835338592529,3.7135470175267074
1995-11-15,1138.8616,1110.0,5.8890676,8.889182734157083,17.15378952026367,11.26472187042236,8.264606786106585
1995-11-16,1137.9634,1110.0,-11.087495,-4.671627469152962,7.754108428955078,18.84160327911377,12.42573589810804
1995-11-17,1230.476,1160.0,-40.581837,-23.656761753787023,-19.08942031860352,21.492416381835934,4.567341435183504
1995-11-18,1411.8456,1280.0,-66.00284,-39.92973399775908,-31.8553638458252,34.14747428894043,8.07437015193388
1995-11-19,1608.2413,1570.0,-265.95844,-246.05404908807176,-229.9078369140625,36.05059814453125,16.146212174009264
1995-11-20,2528.0845,2420.0,-129.11296,-72.47567848570318,-148.1820526123047,-19.069091796875,-75.7063741266015
1995-11-21,2577.2007,2540.0,21.360607,79.40539579136932,28.88974952697754,7.529142379760742,-50.515646264391776
1995-11-22,2276.3232,2290.0,50.163994,79.40539579136932,61.36720275878906,11.203208923339844,-18.038193032580253
1995-11-23,2093.0476,2070.0,49.08688,52.28377538474923,52.37714767456055,3.2902679443359375,0.09337228981132029
1995-11-24,1906.1881,1930.0,41.761536,44.1472892627632,50.61666107177734,8.855125427246087,6.4693718090141346
1995-11-25,1755.5408,1810.0,35.566204,27.874317018791146,39.64887237548828,4.082668304443359,11.774555356697135
1995-11-26,1741.5786,1720.0,31.985407,22.449992937467126,29.75167846679688,-2.233728408813473,7.3016855293297525
1995-11-27,1610.7516,1660.0,16.728971,17.02566885614311,23.82745361328125,7.098482131958008,6.80178475713814
1995-11-28,1618.6404,1630.0,9.512052,22.449992937467126,27.09895515441895,17.586903572082523,4.648962216951823
1995-11-29,1601.3529,1560.0,10.485553,19.737830896805118,27.14864921569824,16.663096427917477,7.410818318893121
1995-11-30,1590.6085,1510.0,15.363687,8.889182734157083,14.30416870117188,-1.0595178604125923,5.414985967014797
1995-12-01,1622.135,1500.0,4.363181,8.889182734157083,14.67837333679199,10.315192222595213,5.789190602634907
1995-12-02,1522.5231,1490.0,10.592677,14.313506815481102,22.17644882202148,11.583771705627438,7.862942006540379
