Date,Flow observed,MBC FFNN,MBC DA,Random error FFNN
01/01/2023 11:30,150,-3.841786,-2.115732431,1.726053476
01/01/2023 11:45,160,-2.3515337,-2.182215691,0.169317961
01/01/2023 12:00,164,-1.1432079,-2.147613764,-1.004405856
01/01/2023 12:15,162,-1.2139088,-2.119489431,-0.90558064
01/01/2023 12:30,158,-1.9002635,-2.068358183,-0.168094635
01/01/2023 12:45,150,-1.3471572,-2.293651581,-0.946494341
01/01/2023 13:00,146,-0.8199451,-2.485776663,-1.665831566
01/01/2023 13:15,143,-2.8203235,-2.666245937,0.15407753
01/01/2023 13:30,137,-2.8713756,-2.731539965,0.139835596
01/01/2023 13:45,132,-1.355885,-2.913581371,-1.557696342
01/01/2023 14:00,132,-1.7041646,-2.948202372,-1.244037747
01/01/2023 14:15,134,-1.9799113,-3.029989719,-1.050078392
01/01/2023 14:30,134,-2.9067452,-2.687256813,0.219488382
01/01/2023 14:45,132,-2.7750006,-2.436539412,0.338461161
01/01/2023 15:00,132,-2.420067,-2.284412861,0.135654211
01/01/2023 15:15,134,-1.521436,-2.242210388,-0.720774412
01/01/2023 15:30,137,-1.2403558,-2.322527647,-1.082171798
01/01/2023 15:45,139,-3.2697413,-2.375374794,0.894366503
01/01/2023 16:00,139,-2.7209792,-2.505882263,0.215096951
01/01/2023 16:15,139,-2.0809941,-2.555984497,-0.474990368
01/01/2023 16:30,139,-1.376332,-2.682991743,-1.306659698
01/01/2023 16:45,139,-2.2592714,-2.727297544,-0.468026161
01/01/2023 17:00,143,-2.8681922,-2.601559401,0.266632795
01/01/2023 17:15,139,-2.8585958,-2.81543684,0.043159008
01/01/2023 17:30,139,-2.8931315,-2.867059469,0.026072025
01/01/2023 17:45,146,-3.5373845,-2.76253581,0.7748487
01/01/2023 18:00,139,-3.1187947,-2.811765194,0.307029486
01/01/2023 18:15,139,-3.0004532,-2.707280397,0.293172836
01/01/2023 18:30,134,-2.6029575,-2.606405735,-0.003448248
01/01/2023 18:45,134,-2.8661892,-2.529287338,0.336901903
01/01/2023 19:00,137,-2.3546247,-2.354972839,-0.000348091
01/01/2023 19:15,139,-2.130911,-2.201995134,-0.071084023
01/01/2023 19:30,139,-1.8368368,-2.057094812,-0.220257998
01/01/2023 19:45,139,-1.774175,-1.906365156,-0.132190108
01/01/2023 20:00,141,-1.8353007,-1.903445601,-0.068144917
01/01/2023 20:15,143,-1.6256673,-1.889379144,-0.26371181
01/01/2023 20:30,146,-1.462934,-1.859215379,-0.396281362
01/01/2023 20:45,148,-1.0646045,-2.019171,-0.954566479
01/01/2023 21:00,154,-0.6784743,-1.931563854,-1.253089547
01/01/2023 21:15,152,-0.11211338,-1.877901196,-1.765787818
01/01/2023 21:30,148,-0.07263913,-1.840686321,-1.768047191
01/01/2023 21:45,146,0.27989873,-1.814446211,-2.094344944
01/01/2023 22:00,146,0.28216276,-1.96561718,-2.247779936
01/01/2023 22:15,143,-0.112795494,-1.984690785,-1.871895291
01/01/2023 22:30,143,-0.1519635,-2.037885427,-1.885921925
01/01/2023 22:45,141,-0.091963075,-2.135399103,-2.043436028
