Date,BONN/flow.bc,KOELN/flow.bc,DUESS/flow.bc,DUISB/flow.bc,WESEL/flow.bc,REES/flow.bc,EMMER/flow.bc
01/12/1995,-1.3359663,10.796534,11.754021,19.31402,15.75346,14.245788,9.1982
02/12/1995,3.8544853,10.796534,11.754021,16.766277,10.392089,7.9253273,5.438639
03/12/1995,2.1409492,10.796534,17.635998,21.688663,15.75346,12.138957,5.438639
04/12/1995,7.272082,15.129606,20.394156,21.688663,15.75346,12.138957,6.693383
05/12/1995,5.5680213,19.135706,25.910458,24.039722,18.434158,14.245788,7.948121
06/12/1995,0.4159858,10.796534,17.635998,26.33635,21.114855,16.344496,9.1982
07/12/1995,2.1409492,15.129606,17.635998,19.31402,15.75346,12.138957,7.948121
08/12/1995,0.4159858,8.578314,17.635998,21.688663,13.072774,12.138957,6.693383
09/12/1995,2.1409492,13.014766,14.745876,19.31402,13.072774,10.032147,5.438639
10/12/1995,0.4159858,10.796534,14.745876,19.31402,15.75346,12.138957,6.693383
11/12/1995,-1.3359663,13.014766,17.635998,21.688663,15.75346,12.138957,6.693383
12/12/1995,2.1409492,10.796534,14.745876,16.766277,10.392089,10.032147,5.438639
13/12/1995,0.4159858,10.796534,14.745876,19.31402,13.072774,10.032147,5.438639
14/12/1995,-1.3359663,8.578314,14.745876,19.31402,15.75346,12.138957,6.693383
15/12/1995,-5.082939,1.9236163,5.6079383,16.766277,10.392089,10.032147,5.438639
16/12/1995,2.1409492,15.129606,14.745876,14.215432,7.7113905,3.7116978,4.183895
17/12/1995,2.1409492,13.014766,20.394156,21.688663,13.072774,10.032147,2.9291575
18/12/1995,-1.3359663,8.578314,11.754021,19.31402,15.75346,12.138957,6.693383
19/12/1995,-1.3359663,8.578314,11.754021,14.215432,7.7113905,5.8185287,4.183895
20/12/1995,-6.992522,1.9236163,2.373051,9.119609,2.3499944,5.8185287,2.9291575
21/12/1995,-17.105577,-4.7422094,-4.236001,6.47258,-3.0113893,-5.4919147,-0.83506167
22/12/1995,-53.426514,-41.11423,-34.015083,-3.0255623,-0.33069134,3.7116978,0.41967595
23/12/1995,-96.51145,-83.4317,-73.55755,-69.31406,-70.481575,-46.121387,-12.237226
24/12/1995,-205.79578,-235.48297,-180.94469,-149.06537,-129.55106,-106.28413,-46.793167
25/12/1995,-223.75006,-261.09848,-232.76045,-233.11626,-228.22755,-157.64143,-75.55031
26/12/1995,-108.01252,-171.5931,-205.17001,-230.20659,-247.00478,-163.34636,-96.53073
27/12/1995,-39.088272,-30.610144,-70.27528,-85.96927,-140.55626,-134.82657,-76.23858
28/12/1995,-53.426514,-34.061314,-47.25023,-39.36443,-48.351364,-52.45431,-38.05092
29/12/1995,-1.3359663,1.9236163,-30.706297,-29.433928,-41.061317,-36.62202,-19.801344
30/12/1995,50.8278,81.84022,90.353455,54.347553,23.795542,3.7116978,-5.854031
31/12/1995,51.718964,86.89257,121.1529,96.824646,102.84818,61.763832,29.69653
