Date,BONN/flow.bc,KOELN/flow.bc,DUESS/flow.bc,DUISB/flow.bc,WESEL/flow.bc,REES/flow.bc,EMMER/flow.bc
01/12/1995,-8.75804,11.139378,14.703788,21.53052,12.784262,13.639871,14.490827
02/12/1995,-3.4143188,17.425436,21.64942,24.829222,12.27701,11.548247,11.482976
03/12/1995,-5.8866396,15.114331,19.039667,23.813242,12.85597,13.494409,13.85937
04/12/1995,3.0549285,22.920717,26.370195,30.955511,16.168571,16.54824,13.188648
05/12/1995,-2.5978625,20.083572,26.231924,33.618927,17.835432,17.608133,13.280716
06/12/1995,-3.2221239,17.816078,22.342304,29.113207,14.601242,14.701976,12.329272
07/12/1995,-1.7527329,18.757717,22.887625,29.948816,12.805655,13.601327,9.54308
08/12/1995,-5.1931944,14.209432,18.137802,27.088276,11.079272,12.646969,8.832996
09/12/1995,-6.696334,12.955623,17.964645,28.130222,11.514133,13.716245,9.448378
10/12/1995,-3.9368513,15.400613,19.91932,27.812626,9.338127,10.881987,7.745442
11/12/1995,-9.18152,9.93955,14.758806,26.30093,8.847534,11.391955,7.8757567
12/12/1995,-1.7025367,16.29817,20.38132,30.068523,9.394978,10.588216,6.0702267
13/12/1995,-4.622463,14.048245,18.732275,29.965393,9.524555,10.971856,6.114101
14/12/1995,-13.033568,6.760346,12.234864,25.83452,7.0551343,8.972702,5.447069
15/12/1995,-8.1378765,9.19531,12.695098,19.522474,-0.06274296,2.5577273,2.362802
16/12/1995,-0.75061005,16.739664,21.778622,28.144417,3.6819205,4.941131,0.88923186
17/12/1995,-7.7873654,12.567818,19.344458,30.913479,9.225341,11.169174,5.9294252
18/12/1995,-10.309479,9.678644,16.51498,28.223091,7.250484,8.122782,4.9722753
19/12/1995,-12.786417,7.4275036,15.127514,29.627823,8.521418,7.859072,3.1678681
20/12/1995,-20.781694,1.1880183,11.6950035,23.809055,0.5327401,-2.1233406,-3.2850213
21/12/1995,-42.483162,-17.979723,-5.870792,11.017604,-0.83294964,-1.4315846,-2.1414957
22/12/1995,-61.08677,-44.94763,-43.84315,-27.065012,-26.038467,-15.811944,-4.455309
23/12/1995,-130.27367,-143.63017,-128.666,-70.8472,-62.878433,-56.56832,-35.843876
24/12/1995,-213.9088,-248.55627,-259.2888,-184.62532,-149.23466,-124.9912,-83.70245
25/12/1995,-216.56763,-244.43005,-296.31042,-280.0351,-257.09256,-197.21342,-133.62964
26/12/1995,-124.27785,-120.409225,-151.75258,-194.25465,-223.68126,-163.9554,-112.15528
27/12/1995,-115.44175,-78.82666,-68.08818,-112.277466,-131.0094,-85.85946,-68.33833
28/12/1995,-129.78423,-77.2482,-48.687737,-99.30196,-104.25183,-60.24536,-46.82237
29/12/1995,-54.573677,-1.4192631,27.338755,-55.68446,-82.71213,-52.801605,-42.59394
30/12/1995,33.423386,83.02662,127.89283,68.10341,34.77001,32.474953,1.3658193
31/12/1995,40.16107,80.4175,121.09065,108.30242,99.90075,93.370804,47.220417
01/01/1996,31.130808,66.27062,93.88416,102.4219,100.81094,97.018394,53.59491
02/01/1996,23.793005,48.654316,66.39377,81.01707,78.757614,80.279785,43.702694
03/01/1996,-5.1189437,20.449762,36.594055,58.74089,61.686096,66.282036,39.815067
04/01/1996,-5.7760744,18.472553,27.854357,38.47845,36.88473,40.838036,28.078539
05/01/1996,5.9917107,29.949196,38.401287,50.76871,43.510567,39.883095,21.244745
06/01/1996,0.59016496,28.483091,35.78432,54.785355,49.82775,45.10406,21.964764
07/01/1996,-1.2667776,23.129599,30.466398,46.12074,43.875126,38.321705,23.437805
08/01/1996,-3.207843,21.012075,26.779665,43.65102,40.277264,34.345554,17.90066
09/01/1996,-5.0857224,17.772362,21.812984,33.524277,33.623066,29.573133,17.990622
10/01/1996,-14.718869,7.470033,8.851853,21.677052,23.032253,20.204176,11.488183
11/01/1996,-7.2220426,10.826626,12.8177805,19.937744,14.450656,8.620093,4.965964
12/01/1996,-5.6327085,13.95326,14.515117,24.438799,21.476286,17.582722,7.8909883
13/01/1996,-1.6694466,17.308258,15.445854,23.649002,19.334599,16.79825,8.113982
14/01/1996,9.318719,27.863977,28.041653,33.55451,24.334442,20.244362,9.183449
15/01/1996,-1.0072614,19.172102,19.674114,28.87032,24.440762,21.717403,11.468194
16/01/1996,13.050771,33.70532,40.535446,45.104244,31.378998,25.412992,12.165753
17/01/1996,5.0475826,26.185335,31.948301,41.58634,34.034668,31.520472,20.576649
18/01/1996,4.6268244,24.382868,29.020145,36.464878,26.62368,24.440332,15.705389
19/01/1996,10.575807,28.404469,30.879162,33.656563,21.950956,20.331678,13.319569
20/01/1996,8.504043,27.062235,30.17369,35.729794,23.546059,22.397602,13.802168
21/01/1996,9.194375,27.887486,30.471027,34.28582,21.346247,21.13764,15.270386
22/01/1996,9.304971,27.38355,28.43568,34.110855,20.318296,19.84278,13.451248
23/01/1996,8.028621,27.77799,29.826262,37.749306,22.909512,22.1882,14.394369
24/01/1996,9.626349,29.728924,32.66196,38.598827,21.987514,21.539318,14.76485
25/01/1996,1.3537501,24.08891,28.582926,37.55755,20.416191,20.431309,13.290887
26/01/1996,0.99347574,20.708408,22.701963,29.491703,12.701303,13.851692,9.54619
27/01/1996,1.7850655,21.84913,24.487381,30.942965,11.1944685,11.801786,7.7165923
28/01/1996,-6.528959,12.082126,14.147662,21.680334,5.67562,8.382084,7.1824174
29/01/1996,4.2537184,21.099707,23.177261,27.647495,3.2390058,4.0990577,-0.21564738
30/01/1996,3.4250257,20.794538,23.698978,30.82352,6.9746857,8.216694,1.9324764
31/01/1996,2.261791,20.756834,24.463417,31.826675,8.549519,9.620266,4.1301847
01/02/1996,0.11931402,18.450033,22.240824,31.493193,7.838639,10.16258,3.937991
02/02/1996,0.26772767,19.848835,25.283731,32.15281,8.276917,9.547367,5.3546424
03/02/1996,-16.84432,6.0946856,14.940458,27.111296,9.051072,9.658035,5.64239
04/02/1996,-11.446707,7.4676795,12.983597,22.71826,1.2758343,2.8536155,0.82399035
05/02/1996,-7.642392,9.786119,13.995882,23.956924,1.4204156,3.468345,0.15106757
