Date,BONN/flow.bc,KOELN/flow.bc,DUESS/flow.bc,DUISB/flow.bc,WESEL/flow.bc,REES/flow.bc,EMMER/flow.bc
10/12/1995,-3.0293539,9.657499,9.679505,22.463612,12.000901,12.189486,7.38191
11/12/1995,6.443264,17.613686,16.337774,21.754393,5.5258846,6.904802,3.042428
12/12/1995,-0.6620113,11.808497,11.63463,21.258677,7.3725324,9.13234,5.508788
13/12/1995,-6.5607505,7.344946,7.71308,20.303486,8.28161,9.399612,7.6327887
14/12/1995,-0.9730808,8.877971,6.6592073,8.601876,-2.4376569,1.6762339,2.3445973
15/12/1995,5.7209034,18.135782,18.11834,23.559921,5.779011,6.0205154,0.7286328
16/12/1995,-4.042327,9.092687,11.065959,21.067526,10.629092,11.209663,6.568551
17/12/1995,-0.17488877,10.491027,9.578642,21.481577,7.11434,8.555975,6.828824
18/12/1995,-5.835701,7.1451435,8.19696,20.411459,4.7530994,4.580227,0.8310518
19/12/1995,-5.4817524,5.2360067,3.8031304,14.528889,2.961427,-0.23647699,1.1157545
20/12/1995,-36.340298,-25.76334,-24.938757,-0.69893444,-1.3008037,-6.575038,-4.3724446
21/12/1995,-53.23188,-53.592228,-57.117027,-37.38509,-26.496092,-16.4814,-7.078331
22/12/1995,-131.44868,-157.77502,-124.63415,-68.920654,-55.016388,-59.878902,-35.46752
23/12/1995,-201.93924,-242.12425,-232.86948,-203.1144,-158.60976,-122.69738,-68.4291
24/12/1995,-225.02876,-244.59097,-268.06314,-281.90125,-253.36444,-186.08568,-119.02066
25/12/1995,-118.534096,-95.261635,-113.74251,-223.49803,-252.52094,-176.92284,-101.64847
26/12/1995,-74.0384,-58.182278,-51.097607,-96.19691,-111.60181,-75.19499,-53.01293
27/12/1995,-58.33228,-49.73135,-57.14272,-47.276806,-54.8669,-35.56522,-21.29317
28/12/1995,15.959186,27.695536,22.377007,-26.311266,-40.07091,-26.52751,-19.880938
29/12/1995,74.780754,104.74941,133.73773,63.73318,55.09907,40.4951,5.1030784
30/12/1995,56.835575,91.16477,131.57985,105.0242,115.00431,103.374054,51.41547
31/12/1995,54.63143,84.26396,115.48077,103.90436,118.03108,107.851364,56.757988
01/01/1996,38.44665,65.118164,85.51888,89.2415,100.8307,85.03148,41.479374
02/01/1996,16.318567,38.768967,52.99544,65.40181,78.9343,64.38036,37.173367
03/01/1996,14.931241,33.483696,29.21718,41.574116,41.8259,31.887957,20.898504
04/01/1996,25.453924,38.676907,41.258972,42.155678,31.35619,22.664005,11.915823
05/01/1996,16.563797,31.2808,38.013783,44.2577,39.618553,29.944515,17.141521
06/01/1996,15.474757,32.74182,35.198498,44.116432,34.567513,28.674494,21.638418
07/01/1996,11.618093,27.417503,29.472187,41.74917,36.045456,26.144348,13.899663
08/01/1996,10.587148,23.19439,22.58012,31.182096,24.035297,20.83417,15.956232
09/01/1996,-6.602061,8.208753,8.547926,21.24509,13.111838,12.775285,11.086884
10/01/1996,2.5324867,13.367914,13.776025,20.852602,4.787183,5.6675096,3.7757745
11/01/1996,-0.58021563,13.636143,12.467493,21.468523,11.150071,7.388186,3.2284806
12/01/1996,6.1648026,17.053,13.536568,19.878168,9.04061,10.188324,6.965779
13/01/1996,14.879344,27.38271,27.502657,29.287678,16.021212,11.862444,6.3787584
14/01/1996,2.5032976,17.342516,18.0388,28.827242,19.327291,17.369532,14.239238
15/01/1996,20.485813,35.10217,35.814426,35.552666,22.457335,16.346197,9.372099
16/01/1996,10.192643,22.221172,23.234943,33.446453,29.496878,25.269087,17.918962
17/01/1996,8.67106,22.500105,21.03205,32.189686,21.613287,17.798697,13.668149
18/01/1996,10.874427,22.328907,21.22764,25.69704,13.073583,11.125142,8.15898
19/01/1996,6.916148,18.93795,20.03949,28.83431,17.356327,14.7768345,9.765274
20/01/1996,12.052297,22.909819,22.002481,29.09027,18.872301,16.426266,12.893042
21/01/1996,5.8088417,19.298857,19.044346,27.679148,16.849733,14.522021,8.883578
